
Detection(bounding_box=BoundingBox(origin_x=111, origin_y=340, width=69, height=129), categories=[Category(index=43, score=0.51953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=225, origin_y=342, width=66, height=120), categories=[Category(index=43, score=0.51953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=236, origin_y=183, width=67, height=117), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=352, origin_y=348, width=69, height=122), categories=[Category(index=43, score=0.5, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=357, origin_y=35, width=62, height=118), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=350, origin_y=187, width=65, height=113), categories=[Category(index=43, score=0.3984375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=245, origin_y=34, width=58, height=115), categories=[Category(index=43, score=0.2890625, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=53, origin_y=4, width=93, height=163), categories=[Category(index=43, score=0.7578125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=3, origin_y=2, width=633, height=476), categories=[Category(index=81, score=0.7109375, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=385, origin_y=8, width=93, height=166), categories=[Category(index=43, score=0.6953125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=226, origin_y=211, width=87, height=167), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=387, origin_y=213, width=90, height=166), categories=[Category(index=43, score=0.48046875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=50, origin_y=435, width=88, height=39), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=53, origin_y=211, width=92, height=160), categories=[Category(index=43, score=0.34375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=396, origin_y=438, width=85, height=37), categories=[Category(index=43, score=0.2421875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=232, origin_y=17, width=74, height=150), categories=[Category(index=43, score=0.140625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=217, origin_y=434, width=73, height=32), categories=[Category(index=43, score=0.10546875, display_name='', category_name='bottle')])


Detection(bounding_box=BoundingBox(origin_x=6, origin_y=2, width=610, height=476), categories=[Category(index=81, score=0.67578125, display_name='', category_name='refrigerator')])
Detection(bounding_box=BoundingBox(origin_x=143, origin_y=341, width=64, height=118), categories=[Category(index=43, score=0.359375, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=368, origin_y=189, width=63, height=108), categories=[Category(index=43, score=0.2578125, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=143, origin_y=36, width=57, height=115), categories=[Category(index=43, score=0.2421875, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=252, origin_y=346, width=64, height=113), categories=[Category(index=43, score=0.2265625, display_name='', category_name='bottle')])
Detection(bounding_box=BoundingBox(origin_x=292, origin_y=199, width=28, height=96), categories=[Category(index=43, score=0.19921875, display_name='', category_name='bottle')])
